secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
83.59,0.326061,-0.226145,-1.200296,-0.308944,0.857426,-0.41155,0.036742,-0.033482,-0.036585,0.757587,-0.380716,-0.386368,0.363095,18.0,3.0,13.0,MTE,22
83.6,0.203974,-0.273862,-1.20209,-0.320274,0.852536,-0.413047,0.025627,-0.061566,0.001303,0.759782,-0.376913,-0.389119,0.359521,18.0,3.0,13.0,MTE,22
83.61,0.024845,-0.269235,-1.186491,-0.331618,0.848138,-0.413148,0.01361,-0.062799,0.069368,0.761608,-0.373627,-0.39221,0.355706,18.0,3.0,13.0,MTE,22
83.62,-0.154767,-0.232243,-1.163413,-0.342607,0.844452,-0.411729,0.012346,-0.043732,0.105348,0.763069,-0.371127,-0.395475,0.351554,18.0,3.0,13.0,MTE,22
83.63,-0.184614,-0.195263,-1.148811,-0.353246,0.841177,-0.409437,0.011175,-0.028845,0.077588,0.764325,-0.369152,-0.398758,0.347168,18.0,3.0,13.0,MTE,22
83.64,-0.080918,-0.148918,-1.148508,-0.363613,0.837612,-0.407665,0.019375,-0.022991,0.043316,0.765708,-0.367072,-0.401778,0.342817,18.0,3.0,13.0,MTE,22
83.65,0.066747,-0.101859,-1.135278,-0.373689,0.833428,-0.407129,0.039475,-0.005029,0.028223,0.767392,-0.364588,-0.404365,0.338635,18.0,3.0,13.0,MTE,22
83.66,0.18699,-0.089872,-1.12544,-0.383444,0.828629,-0.407854,0.058127,0.011901,-0.007139,0.769333,-0.36164,-0.406559,0.334744,18.0,3.0,13.0,MTE,22
83.67,0.300585,-0.128091,-1.149218,-0.393281,0.823222,-0.409433,0.071839,0.007832,-0.041419,0.771444,-0.358212,-0.408617,0.331045,18.0,3.0,13.0,MTE,22
83.68,0.328789,-0.176525,-1.150879,-0.403377,0.817292,-0.411485,0.087047,-0.018342,0.008607,0.773603,-0.354335,-0.410736,0.327537,18.0,3.0,13.0,MTE,22
83.69,0.203953,-0.175498,-1.133339,-0.413423,0.811509,-0.412958,0.084184,-0.01114,0.110223,0.775577,-0.350648,-0.412998,0.323973,18.0,3.0,13.0,MTE,22
83.7,0.099599,-0.134759,-1.122928,-0.423209,0.806164,-0.413513,0.073982,0.006671,0.142059,0.777332,-0.347472,-0.415339,0.320175,18.0,3.0,13.0,MTE,22
83.71,0.10292,-0.099245,-1.128418,-0.432742,0.800964,-0.413751,0.071216,0.003799,0.107141,0.779041,-0.344586,-0.417594,0.316182,18.0,3.0,13.0,MTE,22
83.72,0.226152,-0.077901,-1.115037,-0.442088,0.795365,-0.414672,0.070948,-0.027131,0.034468,0.780903,-0.341452,-0.419613,0.312292,18.0,3.0,13.0,MTE,22
83.73,0.271991,-0.063634,-1.124221,-0.451218,0.789318,-0.416388,0.054032,-0.032025,-0.031229,0.782924,-0.337999,-0.421382,0.308585,18.0,3.0,13.0,MTE,22
83.74,0.327171,-0.045597,-1.151321,-0.46041,0.782876,-0.418483,0.03614,-0.019326,-0.051457,0.785057,-0.334337,-0.423057,0.304839,18.0,3.0,13.0,MTE,22
83.75,0.391691,-0.033733,-1.128574,-0.46947,0.776074,-0.421079,0.029956,-0.040554,-0.022708,0.787295,-0.330458,-0.424568,0.301173,18.0,3.0,13.0,MTE,22
83.76,0.433448,-0.01054,-1.094558,-0.478167,0.769047,-0.424173,0.036502,-0.047673,0.028985,0.789592,-0.326421,-0.425867,0.297708,18.0,3.0,13.0,MTE,22
83.77,0.410666,-0.009449,-1.08534,-0.48656,0.761978,-0.427375,0.046939,-0.014526,0.090781,0.791877,-0.322405,-0.427045,0.294311,18.0,3.0,13.0,MTE,22
